Timestamp,در کدام محدوده سنی هستید؟,جنسیت,خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:,استان محل کار,چند سال تجربه کار تمام وقت دارید؟,آخرین وضعیت تحصیلی,چه مدارک بین المللی ای اخذ کرده اید,چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟,چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟,در سه ماه گذشته چند کتاب خوانده اید؟,زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟,به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟,دیتابیس‌های مورد استفاده,سیستم عامل رومیزی شما کدام است؟,سیستم عامل سرور مورد علاقه شما,و وقتی صحبت از تلفن همراه باشد...,در چه محیطی برنامه نویسی می‌کنید,تم آی دی ای,از چه سورس کنترلی استفاده می کنید؟,تب یا اسپیس؟,نوشیدنی‌های اصلی شما چیست؟,کدام‌ها در مورد شما صدق می‌کند,به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...),حوزه کاری شما چیست,نوع شرکت شما کدام است؟,تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1),متوسط درآمد ماهیانه شما (به تومان),محل کار چه خدماتی بیشتر از حقوق ارائه می دهد,چگونه کار می کنید؟,شیوه کار شما کدام است؟,در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان),چقدر از کاری که انتخاب کرده اید راضی هستید؟,آیا نکته ای هست که بخواهید اضافه کنید؟ بنویسید...,تیپ ,تغییر در بدن؟,سبک موسیقی,وضعیت رابطه,از کدام تکنولوزی ها استفاده می کنید,سبک لباس
2/21/2016 16:41:37,۲۳ تا ۲۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,دو یا سه,"سی شارپ, پایتون, ویژوال بیسیک, جاوااسکریپت, سویفت, ای اس پی دات نت",,"MS-SQL, sqlite, MongoDB","ویندوز ده, مک","ویندوز سرور ۲۰۱۶, لینوکس دبیان, لینوکس اوبونتو",آی او اس,"ویژوال استودیو, سابلایم, ایکس کد",روشن,گیت,تب,قهوه,,,توسعه دهنده فول استک وب,شرکت های تولید نرم افزار,20,پنج تا هفت میلیون,,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,,,,,,,
2/21/2016 16:45:37,۲۳ تا ۲۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"سی شارپ, جاوااسکریپت, اسکوئل, ای اس پی دات نت",,"MS-SQL, Redis","ویندوز هفت, ویندوز هشت","ویندوز سرور ۲۰۰۳, ویندوز سرور ۲۰۰۸, ویندوز سرور ۲۰۱۲, ویندوز سرور ۲۰۱۶",اندروید,"ویژوال استودیو, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)",گاهی روشن گاهی تیره,گیت,تب,آب,,,توسعه دهنده بک اند,شرکت های تولید نرم افزار,25,سه و نیم تا پنج میلیون,,تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین بیست و پنج تا پنجاه,5,,,,,,,
2/21/2016 16:47:21,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,در حال تحصیل در فوق لیسانس,,کمتر از دو ساعت,کمتر از دو ساعت,دو یا سه,"جاوا, پی اچ پی, جاوااسکریپت",,"MySQL/MariaDB, MongoDB",مک,لینوکس سنت او اس,آی او اس,"سابلایم, محصولات جت برین, ویم, محصولات اکلیپس",تیره,گیت,تفاوتی ندارد,"چای, قهوه, آب",,,توسعه دهنده بک اند,شرکت های تولید نرم افزار,30,دو تا سه و نیم میلیون,,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,,,,,,,
2/21/2016 16:49:20,۲۳ تا ۲۹,مرد,آذربایجان غربی,تهران,یک تا سه سال,فوق لیسانس,,هفت تا چهارده ساعت,کمتر از دو ساعت,دو یا سه,"سی پلاس پلاس, سی شارپ, پایتون, جاوااسکریپت, اسکوئل",,"MS-SQL, sqlite, Hadoop Based technoloties, MongoDB, Redis",ویندوز ده,"ویندوز سرور ۲۰۱۲, ویندوز سرور ۲۰۱۶, لینوکس اوبونتو",اندروید,"ویژوال استودیو, سابلایم, براکت, محصولات اکلیپس",گاهی روشن گاهی تیره,,تب,چای,,,دانشمند داده,شرکت های ارائه دهنده سرویس های مختلف,25,دو تا سه و نیم میلیون,,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,,,,,,,
2/21/2016 16:52:44,۳۰ تا ۳۹,زن,خوزستان,تهران,هفت تا پانزده سال,لیسانس,,کمتر از دو ساعت,کمتر از دو ساعت,دو یا سه,"سی شارپ, جاوااسکریپت",,MS-SQL,ویندوز هشت,ویندوزهای دیگر,آی او اس,ویژوال استودیو,تیره,گیت,تب,"چای, دمنوش‌های متنوع",,,"توسعه دهنده بک اند, طراح, تحلیلگر",شرکت های تولید نرم افزار,25,پنج تا هفت میلیون,,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,4,,,,,,,
2/21/2016 16:54:59,۲۳ تا ۲۹,زن,تهران,تهران,سه تا هفت سال,در حال تحصیل در فوق لیسانس,"Programming Languages (Java, MCP, ..)",کمتر از دو ساعت,کمتر از دو ساعت,سه تا شش,"سی شارپ, جاوااسکریپت, اسکوئل",,MS-SQL,ویندوز هشت,ویندوز سرور ۲۰۱۲,اندروید,ویژوال استودیو,تیره,تی اف اس,تب,چای,,,توسعه دهنده فرانت اند,بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),120,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین بیست و پنج تا پنجاه,4,,,,,,,
2/21/2016 16:55:17,۲۳ تا ۲۹,زن,تهران,تهران,سه تا هفت سال,در حال تحصیل در فوق لیسانس,"Management (PMP, SCRUM, ITIL, ...)",دو تا هفت ساعت,کمتر از دو ساعت,یک,سی شارپ,,MS-SQL,مک,ویندوز سرور ۲۰۱۲,آی او اس,برنامه نویسی نمی کنم,تیره,استفاده نمی کنم,تب,"قهوه, آب",,,"طراح, تحلیلگر, مدیر شرکت / پروژه / ..., مستند سازی, تست کننده",شرکت های تولید نرم افزار,25,دو تا سه و نیم میلیون,"برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,,,,,,,
2/21/2016 17:25:34,۳۰ تا ۳۹,مرد,کردستان,تهران,هفت تا پانزده سال,لیسانس,,بیشتر از چهارده ساعت,کمتر از دو ساعت,سه تا شش,"پی اچ پی, جاوااسکریپت, گو, بش",,"MS-SQL, MySQL/MariaDB, Postgresql, sqlite, MongoDB, Redis, Other NoSQLs (couch, raven, ...)","لینوکس اوبونتو, لینوکس دبیان","لینوکس دبیان, لینوکس اوبونتو",اندروید,"محصولات جت برین, ویم",تیره,گیت,تب,چای,,,"توسعه دهنده بک اند, مدیر دیتابیس",شرکت های تولید نرم افزار,25,پنج تا هفت میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,,,,,,,
2/21/2016 23:23:04,۳۰ تا ۳۹,مرد,تهران,تهران,پانزده تا بیست و پنج,لیسانس,,کمتر از دو ساعت,دو تا هفت ساعت,سه تا شش,سی شارپ,,"MS-SQL, MySQL/MariaDB","ویندوز ده, مک, لینوکس اوبونتو","ویندوز سرور ۲۰۰۸, لینوکس اوبونتو",آی او اس,"ویژوال استودیو, براکت",تیره,گیت,تب,"چای, قهوه",,,مدیر شرکت / پروژه / ...,شرکت های تولید نرم افزار,5,سه و نیم تا پنج میلیون,,تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,4,,,,,,,
2/22/2016 15:29:12,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,در حال تحصیل در فوق لیسانس,,کمتر از دو ساعت,صفر,هیچ,"C#, Javascript, R, SQL","Java, Python, PHP","MS-SQL, MySQL/MariaDB, Postgresql","Windows 10, Linux Ubuntu",Windows Server 2012,Android,"ویژوال استودیو, سابلایم, محصولات اکلیپس",تیره,گیت,تب,"چای, قهوه, آب","در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",1,"مدیر سیستم, مستند سازی, تست کننده",شرکت های تولید نرم افزار,25,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,3,"میزان علاقه و میزان توانایی در هر حوزه تخصصی که پرسیده میشود در کنار گزینه مربوطه قرار گیرد.
قراردادن معیارهایی که نرخ رشد و پیشرفت و یادگیری مطالب جدید را نشان دهد ( چه میزان درجا میزنیم و داریم فسیل میشیم)
سوالاتی که نشان دهد میزان فان و سرگرمی و کلن زمانی که به خودمون و خانوادمون اختصاص میدیم چقدر است.",,,,,,
