Timestamp,در کدام محدوده سنی هستید؟,جنسیت,خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:,استان محل کار,چند سال تجربه کار تمام وقت دارید؟,آخرین وضعیت تحصیلی,چه مدارک بین المللی ای اخذ کرده اید,چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟,چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟,در سه ماه گذشته چند کتاب خوانده اید؟,زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟,به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟,دیتابیس‌های مورد استفاده,سیستم عامل رومیزی شما کدام است؟,سیستم عامل سرور مورد علاقه شما,و وقتی صحبت از تلفن همراه باشد...,در چه محیطی برنامه نویسی می‌کنید,تم آی دی ای,از چه سورس کنترلی استفاده می کنید؟,از کدام تکنولوزی ها استفاده می کنید,تب یا اسپیس؟,نوشیدنی‌های اصلی شما چیست؟,تیپ ,تغییر در بدن؟,کدام‌ها در مورد شما صدق می‌کند,سبک موسیقی,وضعیت رابطه,به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...),حوزه کاری شما چیست,نوع شرکت شما کدام است؟,تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1),متوسط درآمد ماهیانه شما (به تومان),محل کار چه خدماتی بیشتر از حقوق ارائه می دهد,چگونه کار می کنید؟,شیوه کار شما کدام است؟,در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان),چقدر از کاری که انتخاب کرده اید راضی هستید؟,آیا نکته ای هست که بخواهید اضافه کنید؟ بنویسید...
2/28/2017 17:44:04,۲۳ تا ۲۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,هیچ,"PHP, Javascript, SQL","Python, Ruby, Swift, Go","MySQL/MariaDB, Postgresql, MongoDB, Redis",OS X,"Linux Debian, Linux Ubuntu",iOS,"سابلایم, ویم",تیره,گیت,"سورس کنترل, کانتینرها, تست های خودکار, کلاود",تب,"چای, قهوه, انرژی زا, نوشابه, انواع ماء الشعیر, نوشیدنی‌های الکلی","تی شرت, جین, پیرهن مردونه, گجت پوشیدنی دارم (ساعت هوشمند، ...), ساعت می بندم, اسپورت",,"بیشتر از سه بار در هفته ورزش می کنم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",الکترونیک دنس,رابطه های نا پایدار,3,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, تحلیلگر","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...), شرکت های تولید نرم افزار, شرکت های پشتیبانی و دیگر خدمات نرم افزار, شرکت های ارائه دهنده سرویس های مختلف",40,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین بیست و پنج تا پنجاه,4,
2/28/2017 17:41:58,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,در حال تحصیل در فوق لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"Java, PHP, Javascript, SQL",Swift,"MySQL/MariaDB, Postgresql, sqlite, Redis",OS X,Linux CentOS,"Android, iOS","سابلایم, محصولات جت برین",تیره,گیت,سورس کنترل,تب,"چای, آب","تیره, اسپورت",,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","پاپ ایرانی, دامبول",این بحث ها برام زوده,1,"توسعه دهنده فول استک وب, توسعه دهنده موبایل",شرکت های ارائه دهنده سرویس های مختلف,30,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, لپ تاپ, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,4,
2/28/2017 17:45:04,۲۳ تا ۲۹,مرد,فارس,تهران,سه تا هفت سال,لیسانس,,دو تا هفت ساعت,صفر,سه تا شش,"C#, Javascript, SQL, Bash","Python, PHP, Swift","MS-SQL, MySQL/MariaDB, Oracle","Windows 7, Windows 10, Linux Ubuntu","Windows Server 2012, Linux Debian",Android,ویژوال استودیو,تیره,گیت,سورس کنترل,اسپیس,"چای, قهوه, انرژی زا, نوشابه","تی شرت, جین, رنگی رنگی, روشن, اسپورت",,در رابطه نیستم ولی دوست داشتم بودم,"پاپ ایرانی, پاپ خارجی, رپ, دامبول",بدون رابطه ولی علاقمند به شروع رابطه,1,"توسعه دهنده بک اند, توسعه دهنده دسکتاپ, توسعه دهنده فرانت اند, طراح, تحلیلگر","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...), شرکت های تولید نرم افزار",500,دو تا سه و نیم میلیون,"باشگاه ورزشی داخل شرکت, عضویت باشگاه های ورزشی یا هزینه ورزش, قهوه،‌ چای و ... رایگان, کارت هدیه و کارت خرید, پاداش بر اساس نتایج, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,
2/28/2017 17:53:54,۲۳ تا ۲۹,مرد,البرز,البرز,سه تا هفت سال,در حال تحصیل در فوق لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,هیچ,"Java, PHP, Javascript","C#, Python","MySQL/MariaDB, sqlite",Windows 10,Linux CentOS,"Android, iOS",محصولات جت برین,تیره,گیت,سورس کنترل,تب,"چای, آب","تی شرت, جین, پیرهن مردونه, ساعت می بندم, اسپورت, متفاوت از اکثریت",,,,با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام,,"توسعه دهنده فول استک وب, توسعه دهنده موبایل",شرکت های تولید نرم افزار,1,دو تا سه و نیم میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,,5,
2/28/2017 17:57:19,۲۳ تا ۲۹,مرد,البرز,تهران,یک تا سه سال,در حال تحصیل در فوق لیسانس,,دو تا هفت ساعت,صفر,یک,"PHP, Javascript, SQL","Java, Python, PHP, Javascript, Swift, SQL","No Database, MySQL/MariaDB, MongoDB","Windows 10, OS X, Linux Ubuntu","Linux Ubuntu, os x",Android,محصولات اکلیپس,تیره,گیت,"سورس کنترل, هوش مصنوعی",تفاوتی ندارد,"چای, قهوه","تی شرت, جین, پیرهن مردونه",,"بیشتر از یک نخ در روز سیگار می کشم, حداقل یک روز در میان دوش می گیرم","پاپ خارجی, متال, راک",ازدواج کرده ام,1,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, مدیر سیستم","شرکت های ارائه دهنده سرویس های مختلف, استارتاپ",5,دو تا سه و نیم میلیون,"عضویت باشگاه های ورزشی یا هزینه ورزش, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
2/28/2017 18:02:43,۳۰ تا ۳۹,مرد,آذربایجان شرقی,تهران,هفت تا پانزده سال,لیسانس,,صفر,صفر,هیچ,SQL,"Java, C#",MS-SQL,Windows 7,Windows Server 2008,Android,برنامه نویسی نمی کنم,روشن,,,,"چای, قهوه, دمنوش‌های متنوع, آب","تی شرت, پیرهن مردونه, ساعت می بندم, اسپورت",,سیاست برایم مهم است,پاپ ایرانی,ازدواج کرده ام,1,مدیر دیتابیس,بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),800,دو تا سه و نیم میلیون,"باشگاه ورزشی داخل شرکت, ناهار رایگان, قهوه،‌ چای و ... رایگان, لپ تاپ, تلفن همراه, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,3,"با آرزوي اشتغال و پيشرفت همه بيکاران.
موفق باشين."
2/28/2017 18:03:41,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,یک,"Java, C#, SQL",Swift,"MS-SQL, sqlite",Windows 10,Windows Server 2012,"Android, iOS",ویژوال استودیو,روشن,"گیت, تی اف اس",سورس کنترل,تب,"چای, نوشیدنی‌های الکلی","تی شرت, پیرهن مردونه, ساعت می بندم",,حداقل یک روز در میان دوش می گیرم,"سنتی, پاپ ایرانی",با پارتنر دائم,1,توسعه دهنده بک اند,شرکت های تولید نرم افزار,250,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,
2/28/2017 18:06:05,۳۰ تا ۳۹,مرد,یزد,تهران,پانزده تا بیست و پنج,لیسانس,,بیشتر از چهارده ساعت,کمتر از دو ساعت,سه تا شش,"Python, PHP, Perl, Javascript, Bash",C++,"MySQL/MariaDB, Postgresql, Redis",Linux Fedora,"Linux RedHat, Linux CentOS",Android,محصولات جت برین,تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها, کلاود",تب,"چای, آب","پیرهن مردونه, کت و شلوار, تیره, روشن, رسمی",,"بیشتر از سه بار در هفته ورزش می کنم, حداقل یک روز در میان دوش می گیرم","سنتی, پاپ ایرانی",ازدواج کرده ام,1,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, مدیر سیستم, شبکه, امنیت, مدیر شرکت / پروژه / ...","شرکت های تولید نرم افزار, شرکت های پشتیبانی و دیگر خدمات نرم افزار",4,بالای سیزده,بیمه,تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین صد تا دویست,5,
2/28/2017 18:21:23,۲۳ تا ۲۹,مرد,کردستان,تهران,زیر یکسال,لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,یک,"Java, C#, SQL",PHP,"MS-SQL, MySQL/MariaDB, Postgresql, sqlite",Windows 10,Linux RedHat,Android,"ویژوال استودیو, محصولات اکلیپس",روشن,گیت,بیلد سیستم ها,هان؟,چای,"تی شرت, پیرهن مردونه",,در رابطه نیستم ولی دوست داشتم بودم,پاپ ایرانی,بدون رابطه ولی علاقمند به شروع رابطه,2,توسعه دهنده موبایل,استارتاپ,1,دو تا سه و نیم میلیون,,پروژه ای مستقل,دورکاری کامل,,5,
2/28/2017 18:27:16,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,هفت تا چهارده ساعت,دو یا سه,PHP,Swift,"MS-SQL, MySQL/MariaDB",OS X,Linux CentOS,"iOS, Blackberry",سابلایم,تیره,گیت,کلاود,تب,چای,"تی شرت, جین, رنگی رنگی, تیره",,بیشتر از یک نخ در روز سیگار می کشم,"کلاسیک, پاپ خارجی, متال, راک, رپ",با پارتنر دائم,3,"توسعه دهنده فرانت اند, شبکه, طراح",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),70,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
