"Timestamp","در کدام محدوده سنی هستید؟","جنسیت","خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:","استان محل کار","چند سال تجربه کار تمام وقت دارید؟","آخرین وضعیت تحصیلی","چه مدارک بین المللی ای اخذ کرده اید","چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟","بیشترین یادگیری شما در کجا اتفاق می افتد؟","چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟","در سه ماه گذشته چند کتاب [غیردرسی] خوانده اید؟","زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟","به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟","دیتابیس‌های مورد استفاده","سیستم عامل رومیزی شما کدام است؟","سیستم عامل سرور مورد علاقه شما","و وقتی صحبت از تلفن همراه باشد...","در چه محیطی برنامه نویسی می‌کنید","تم آی دی ای","از چه سورس کنترلی استفاده می کنید؟","از کدام تکنولوزی ها استفاده می کنید","کدام سرویس برای شما بسیار پر استفاده است؟","تب یا اسپیس؟","نوشیدنی‌های مورد علاقه شما چیست؟","تیپ ","تغییر در بدن؟","کدام‌ها در مورد شما صدق می‌کند","سبک موسیقی","وضعیت رابطه","به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...)","حوزه کاری شما چیست","نوع شرکت شما کدام است؟","تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1)","متوسط درآمد ماهیانه شما (به تومان)","محل کار چه خدماتی بیشتر از حقوق ارائه می دهد","چگونه کار می کنید؟","شیوه کار شما کدام است؟","در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان)","چقدر از کاری که انتخاب کرده اید راضی هستید؟","آیا برنامه نویسی یا مدیریت سیستم‌ها شغل اصلی شماست؟"
"2018/02/13 12:16:39 PM GMT+4:30","۳۰ تا ۳۹","مرد","تهران","تهران","پانزده تا بیست و پنج","لیسانس","Management (PMP, SCRUM, ITIL, ...)","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی","کمتر از دو ساعت","سه تا شش","برنامه نویسی نمی‌کنم","Bash","No Database","OS X","Linux CentOS","Android;iOS;Dumb phones (1100, ...)","سابلایم;اتم;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)","تیره","گیت","سورس کنترل;ویکی‌های مربوط به پروژه","ترلو;تودولیست‌ها;اسلک;ابزارهای مدیریت پروژه اتلسین","تب","چای سیاه;قهوه;انواع ماء الشعیر;نوشیدنی‌های الکلی","تی شرت;جین;پیرهن مردونه;رسمی;گجت پوشیدنی دارم (ساعت هوشمند، ...);اسپورت","","بیشتر از یک نخ در روز سیگار می کشم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","کلاسیک;سنتی;پاپ ایرانی;دامبول;بلوز;کانتری","ازدواج کرده ام","4","مدیر شرکت / پروژه / ...","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...);استارتاپ;شرکت های خارجی","200","پنج تا هفت میلیون","باشگاه ورزشی داخل شرکت;قهوه،‌ چای و ... رایگان;برگزاری مراسم و تولدها در داخل شرکت;لپ تاپ;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","4","خیر"
"2018/02/13 12:16:44 PM GMT+4:30","۲۳ تا ۲۹","مرد","کرمان","تهران","یک تا سه سال","فوق لیسانس","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","دو یا سه","PHP;Javascript","Python;Javascript;Go;Haskell","MySQL/MariaDB","Linux Arch","Linux CentOS","iOS","سابلایم;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);محصولات جت برین;ویم","تیره","گیت","سورس کنترل","استک اورفلو;ترلو;تسکولو;اسلک","اسپیس","چای سیاه;قهوه;انرژی زا;نوشابه;انواع ماء الشعیر;نوشیدنی‌های الکلی;آب","تی شرت;جین;پیرهن مردونه;شال;تیره","","بیشتر از یک نخ در روز سیگار می کشم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم","سنتی;پاپ ایرانی;راک","رابطه های نا پایدار","2","توسعه دهنده بک اند","بخش دولتی;استارتاپ","14","دو تا سه و نیم میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر مواقع دورکاری و گاهی به دفتر می روم","بین بیست و پنج تا پنجاه","4","بله"
"2018/02/13 12:19:42 PM GMT+4:30","۲۳ تا ۲۹","زن","همدان","تهران","زیر یکسال","لیسانس","","کمتر از دو ساعت","ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","صفر","دو یا سه","C#","Javascript","MS-SQL;Oracle","Windows 10","Windows Server 2016","Android","ویژوال استودیو","روشن","گیت;اس وی ان","سورس کنترل;کلاود","استک اورفلو;ترلو;ابزارهای مدیریت پروژه مایکروسافت","تب","چای سیاه;قهوه;دمنوش‌های متنوع;انرژی زا;نوشابه;نوشیدنی‌های الکلی;آب","جین;شال;رنگی رنگی;اسپورت","","بیشتر از یک نخ در روز سیگار می کشم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم","کلاسیک;سنتی;پاپ ایرانی;بلوز","ازدواج کرده ام","1","توسعه دهنده بک اند","شرکت های تولید نرم افزار","100","یک تا دو میلیون","قهوه،‌ چای و ... رایگان;کارت هدیه و کارت خرید;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","3","بله"
"2018/02/13 12:20:11 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","سه تا هفت سال","لیسانس","Linux (LPIC, ...)","دو تا هفت ساعت","ویدئوهای مستقل آموزشی","کمتر از دو ساعت","دو یا سه","Bash","Python","MySQL/MariaDB","Linux Debian","Linux Debian","Android","mcedit","گاهی روشن گاهی تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;تست های خودکار;ویکی‌های مربوط به پروژه;کلاود","استک اورفلو;تودولیست‌ها;اسلک","تب","چای سیاه;دمنوش‌های متنوع;انرژی زا;نوشیدنی‌های الکلی","تی شرت;جین;گجت پوشیدنی دارم (ساعت هوشمند، ...)","","در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","پاپ خارجی;متال;easy listening;دامبول","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","","مدیر سیستم;مدیر دیتابیس","استارتاپ","20","دو تا سه و نیم میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان;برگزاری مراسم و تولدها در داخل شرکت;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","4","بله"
"2018/02/13 12:21:54 PM GMT+4:30","۲۳ تا ۲۹","مرد","یزد","یزد","یک تا سه سال","لیسانس","","بیشتر از چهارده ساعت","یادگیری از طریق انجام پروژه","هفت تا چهارده ساعت","یک","PHP;Javascript;SQL","Python","MySQL/MariaDB;MongoDB;Redis","Linux Ubuntu","Linux Debian","Android","محصولات جت برین","تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;ویکی‌های مربوط به پروژه","استک اورفلو;ترلو","تب","آب","جین;پیرهن مردونه","","به شکل مرتب نماز می‌خونم;بیشتر از سه بار در هفته ورزش می کنم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;خودم رو گیک می دونم","سنتی","بدون رابطه ولی علاقمند به شروع رابطه","1","توسعه دهنده فول استک وب","","1","یک تا دو میلیون","","پروژه ای مستقل","شخصی کار می کنم و در محل خودم","بین بیست و پنج تا پنجاه","3","بله"
"2018/02/13 12:22:19 PM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","زیر یکسال","کاردانی","","دو تا هفت ساعت","ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","هفت تا چهارده ساعت","یک","Javascript","","MySQL/MariaDB;MongoDB","Windows 10","","Android","vs code","تیره","گیت","سورس کنترل;ویکی‌های مربوط به پروژه;کلاود","تسکولو","تب","چای سیاه;قهوه","گجت پوشیدنی دارم (ساعت هوشمند، ...)","","به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم","پاپ خارجی;راک","بدون رابطه و بدون علاقه به شروع","1","توسعه دهنده بک اند","شرکت های تولید نرم افزار","30","یک تا دو میلیون","قهوه،‌ چای و ... رایگان;خوراکی و اسنک‌های رایگان داخل شرکت;برگزاری مراسم و تولدها در داخل شرکت;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","ساعتی کار نمی کنم","4","بله"
"2018/02/13 12:22:29 PM GMT+4:30","۴۰ تا ۴۹","مرد","مرکزی","تهران","پانزده تا بیست و پنج","فوق لیسانس","OCA","هفت تا چهارده ساعت","ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","یک","Java;Python;Javascript","","MS-SQL;MongoDB;Redis;Other NoSQLs (couch, raven, ...)","OS X","Linux CentOS","Phone? I dont carry a phone!","ویژوال استودیو;اتم;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);محصولات جت برین","گاهی روشن گاهی تیره","گیت","سورس کنترل;بیلد سیستم ها;ویکی‌های مربوط به پروژه;بیگ دیتا;هوش مصنوعی","استک اورفلو;تلگرام برای کنترل پروژه","تفاوتی ندارد","چای سبز;قهوه;انواع ماء الشعیر","تی شرت;جین;پیرهن مردونه","","حداقل یک روز در میان دوش می گیرم;طبیعت را دوست دارم","پاپ خارجی;راک","با پارتنر دائم","0","توسعه دهنده بک اند;دانشمند داده;مدیر شرکت / پروژه / ...","استارتاپ","5","پنج تا هفت میلیون","همه دورکاری می‌کنیم.","استارتاپ خودم","شخصی کار می کنم و در محل خودم","بالای دویست","4","بله"
"2018/02/13 12:22:41 PM GMT+4:30","۲۳ تا ۲۹","مرد","ایلام","ایلام","یک تا سه سال","در حال تحصیل در فوق لیسانس","Network (CCNA, MCSE, MCITP, ...)","کمتر از دو ساعت","سایت‌های آموزش آنلاین داخلی;کتاب / خودآموزهای متنی","صفر","دو یا سه","Python","","Oracle","Linux Ubuntu","","Android","اتم","تیره","","","تلگرام برای کنترل پروژه","تب","چای سیاه","پیرهن مردونه","","بیشتر از یک نخ در روز سیگار می کشم;در رابطه نیستم ولی دوست داشتم بودم;به شکل مرتب بازی‌های کامپیوتری می‌کنم","پاپ ایرانی","بدون رابطه ولی علاقمند به شروع رابطه","2","شبکه","شرکت های پشتیبانی و دیگر خدمات نرم افزار","4","زیر یک میلیون","بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","","5","بله"
"2018/02/13 12:22:47 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","یک تا سه سال","فوق لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","یک","Java;Python;Swift","Ruby;R","MS-SQL;Oracle","OS X","Linux CentOS;Linux Ubuntu","Android;iOS","سابلایم;ایکس کد","تیره","گیت","سورس کنترل;کانتینرها;هوش مصنوعی","استک اورفلو;تلگرام برای کنترل پروژه;اسلک","تب","چای سیاه;قهوه","تی شرت","","سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;طبیعت را دوست دارم","سنتی;پاپ ایرانی;پاپ خارجی","با پارتنر دائم","","توسعه دهنده موبایل","شرکت های تولید نرم افزار","40","سه و نیم تا پنج میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان;کارت هدیه و کارت خرید;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","3","بله"
"2018/02/13 12:22:52 PM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","زیر یکسال","در حال تحصیل در دوره لیسانس","Programming Languages (Java, MCP, ..)","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","سه تا شش","Java;C#;Python;SQL","C++;Ruby;Assembly;Go","MS-SQL;MySQL/MariaDB;sqlite","Windows 10;Linux Ubuntu","Linux RedHat;Linux CentOS;Linux Debian;Linux Ubuntu","Android","ویژوال استودیو;محصولات جت برین","گاهی روشن گاهی تیره","گیت","سورس کنترل;بیلد سیستم ها","استک اورفلو;تلگرام برای کنترل پروژه","تب","چای سیاه;چای سبز;قهوه;آب","تی شرت;جین;تیره;روشن;اسپورت","","سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","کلاسیک;پاپ ایرانی;راک;بلوز","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","4","توسعه دهنده بک اند;توسعه دهنده موبایل","شرکت های تولید نرم افزار","10","یک تا دو میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان;خوراکی و اسنک‌های رایگان داخل شرکت;پاداش بر اساس نتایج;برگزاری مراسم و تولدها در داخل شرکت;بیمه","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","","5","بله"
